Experiment Number,ROB Size,IQ Size,LQ Size,SQ Size,Number of Physical Registers,CPU Fetch Width,Number of Cycles,Power
118,16,16,16,1024,128,8,30432442,11.6163
119,16,16,16,1024,256,2,30541480,9.06079
120,16,16,16,1024,256,4,30574430,9.70355
121,16,16,16,1024,256,6,29074213,13.9274
122,16,16,16,1024,256,8,30432442,18.9812
123,16,16,16,1024,512,2,30541480,9.72271
124,16,16,16,1024,512,4,30574430,12.1546
125,16,16,16,1024,512,6,29074213,14.8587
126,16,16,16,1024,512,8,30432442,20.6942
127,16,16,16,1024,1024,2,30541480,9.9295
128,16,16,16,1024,1024,4,30574430,13.2866
129,16,16,16,1024,1024,6,29074213,19.8921
130,16,16,16,1024,1024,8,30432442,137.256
131,16,16,16,1024,2048,2,30541480,10.2822
132,16,16,16,1024,2048,4,30574430,14.2792
133,16,16,64,16,64,2,30945082,7.01776
134,16,16,64,16,64,4,30612101,7.52862
135,16,16,64,16,64,6,29126851,8.31785
136,16,16,64,16,64,8,29738312,9.44372
137,16,16,64,16,128,2,30945082,7.04866
138,16,16,64,16,128,4,30612101,7.60365
139,16,16,64,16,128,6,29126849,8.45341
140,16,16,64,16,128,8,29761470,9.66022
141,16,16,64,16,256,2,30945082,7.10123
142,16,16,64,16,256,4,30612101,7.7446
143,16,16,64,16,256,6,29126849,11.9702
144,16,16,64,16,256,8,29761470,17.0255
145,16,16,64,16,512,2,30945082,7.76224
146,16,16,64,16,512,4,30612101,10.1954
147,16,16,64,16,512,6,29126849,12.9006
148,16,16,64,16,512,8,29761470,18.7379
149,16,16,64,16,1024,2,30945082,7.96774
150,16,16,64,16,1024,4,30612101,11.3269
151,16,16,64,16,1024,6,29126849,17.935
152,16,16,64,16,1024,8,29761470,135.306
153,16,16,64,16,2048,2,30945082,8.31926
154,16,16,64,16,2048,4,30612101,12.3189
155,16,16,64,64,64,2,30541480,7.03531
156,16,16,64,64,64,4,30574430,7.54617
157,16,16,64,64,64,6,29074213,8.3354
158,16,16,64,64,64,8,30432444,9.46125
159,16,16,64,64,128,2,30541480,7.06626
160,16,16,64,64,128,4,30574430,7.62124
161,16,16,64,64,128,6,29074213,8.471
162,16,16,64,64,128,8,30432442,9.6778
163,16,16,64,64,256,2,30541480,7.11887
164,16,16,64,64,256,4,30574430,7.76223
165,16,16,64,64,256,6,29074213,11.9878
166,16,16,64,64,256,8,30432442,17.0431
167,16,16,64,64,512,2,30541480,7.77991
168,16,16,64,64,512,4,30574430,10.2131
169,16,16,64,64,512,6,29074213,12.9182
170,16,16,64,64,512,8,30432442,18.7555
171,16,16,64,64,1024,2,30541480,7.98545
172,16,16,64,64,1024,4,30574430,11.3446
173,16,16,64,64,1024,6,29074213,17.9527
174,16,16,64,64,1024,8,30432442,135.324
175,16,16,64,64,2048,2,30541480,8.33701
176,16,16,64,64,2048,4,30574430,12.3367
177,16,16,64,128,64,2,30541480,7.05592
178,16,16,64,128,64,4,30574430,7.56678
179,16,16,64,128,64,6,29074213,8.356
180,16,16,64,128,64,8,30432444,9.48185
181,16,16,64,128,128,2,30541480,7.08692
182,16,16,64,128,128,4,30574430,7.6419
183,16,16,64,128,128,6,29074213,8.49165
184,16,16,64,128,128,8,30432442,9.69844
185,16,16,64,128,256,2,30541480,7.13958
186,16,16,64,128,256,4,30574430,7.78295
187,16,16,64,128,256,6,29074213,12.0085
